Symbol,Name,Sector,Industry,Last Sale
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,76.68
PTC,PTC Inc.,Technology,Software - Application,137.2
PSA,Public Storage,Real Estate,REIT - Industrial,324.17
PHM,,Consumer Cyclical,Residential Construction,126.47
PVH,,Consumer Cyclical,Apparel Manufacturing,86.66
QRVO,"Qorvo, Inc.",Technology,Semiconductors,90.57
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,147.61
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,667.36
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,233.01
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,380.34
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,175.98
RTX,RTX Corporation,Industrials,Aerospace & Defense,215.22
O,,Real Estate,REIT - Retail,63.87
REG,,Real Estate,REIT - Retail,80.29
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,762.63
RF,,Financial Services,Banks - Regional,30.95
RSG,,Industrials,Waste Management,210.55
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,210.98
RHI,,Industrials,Staffing & Employment Services,37.8
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,480.08
ROL,,Consumer Cyclical,Personal Services,37.97
ROP,"Roper Technologies, Inc.",Technology,Software - Application,391.97
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,251.07
RCL,,Consumer Cyclical,Travel Services,318.3
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,411.93
CRM,,Technology,Software - Application,184.02
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,180.98
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,49.59
STX,,Technology,Computer Hardware,856.13
SEE,,,,
SRE,,Utilities,Utilities - Diversified,88.55
NOW,"ServiceNow, Inc.",Technology,Software - Application,111.23
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,340.85
SPG,,Real Estate,REIT - Retail,229.37
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,62.28
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,119.26
SNA,,Industrials,Tools & Accessories,410.41
SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,41.2
SO,,Utilities,Utilities - Regulated Electric,94.54
LUV,Southwest Airlines Co.,Industrials,Airlines,44.97
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,94.58
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,105.25
STT,State Street Corporation,Financial Services,Asset Management,184.16
STE,STERIS plc,Healthcare,Medical Devices,228.4
SYK,Stryker Corporation,Healthcare,Medical Devices,325.7
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,388.76
SYY,,Consumer Defensive,Food Distribution,85.24
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,172.71
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,111.75
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,242.92
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,152.37
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,270.37
TGT,,Consumer Defensive,Discount Stores,144.49
TEL,,Technology,Electronic Components,205.69
TDY,,Technology,Scientific & Technical Instruments,655.57
TFX,,Healthcare,Medical Instruments & Supplies,136.71
TER,,Technology,Semiconductor Equipment & Materials,367.69
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,311.21
TXN,Texas Instruments Incorporated,Technology,Semiconductors,275.74
TXT,Textron Inc.,Industrials,Aerospace & Defense,85.26
TMO,,Healthcare,Diagnostics & Research,574.3
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,157.34
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,30.77
TT,Trane Technologies plc,Industrials,Building Products & Equipment,454.95
TDG,,Industrials,Aerospace & Defense,1254.38
TRV,,Financial Services,Insurance - Property & Casualty,374.36
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,56.58
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,51.84
TYL,,Technology,Software - Application,309.6
TSN,,Consumer Defensive,Farm Products,57.96
USB,U.S. Bancorp,Financial Services,Banks - Regional,63.01
UDR,"UDR, Inc.",Real Estate,REIT - Residential,38.16
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,512.83
UNP,Union Pacific Corporation,Industrials,Railroads,292.13
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,121.33
UPS,,Industrials,Integrated Freight & Logistics,104.22
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,1079.26
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,414.4
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,168.44
